b_detail_plan_CD

[OBJECT:BODY_DETAIL_PLAN]

{!SHARED_BODY_DETAIL_PLAN;THINSKIN_MATERIALS;
	[ADD_MATERIAL:SKIN:THINSKIN_TEMPLATE]
	[ADD_MATERIAL:LEATHER:THINLEATHER_TEMPLATE]
	[ADD_MATERIAL:FAT:FAT_TEMPLATE]
	[ADD_MATERIAL:MUSCLE:MUSCLE_TEMPLATE]
	[ADD_MATERIAL:BONE:BONE_TEMPLATE]
	[ADD_MATERIAL:CARTILAGE:CARTILAGE_TEMPLATE]
	[ADD_MATERIAL:HAIR:HAIR_TEMPLATE]
	[ADD_MATERIAL:TOOTH:TOOTH_TEMPLATE]
	[ADD_MATERIAL:EYE:EYE_TEMPLATE]
	[ADD_MATERIAL:NERVE:NERVE_TEMPLATE]
	[ADD_MATERIAL:BRAIN:BRAIN_TEMPLATE]
	[ADD_MATERIAL:BRAIN_CON:BRAIN_CON_TEMPLATE]
	[ADD_MATERIAL:BRAIN_STEM:BRAIN_TEMPLATE]
	[ADD_MATERIAL:LUNG:LUNG_TEMPLATE]
	[ADD_MATERIAL:HEART:HEART_TEMPLATE]
	[ADD_MATERIAL:LIVER:LIVER_TEMPLATE]
	[ADD_MATERIAL:GUT:GUT_TEMPLATE]
	[ADD_MATERIAL:STOMACH:STOMACH_TEMPLATE]
	[ADD_MATERIAL:GIZZARD:GIZZARD_TEMPLATE]
	[ADD_MATERIAL:PANCREAS:PANCREAS_TEMPLATE]
	[ADD_MATERIAL:SPLEEN:SPLEEN_TEMPLATE]
	[ADD_MATERIAL:KIDNEY:KIDNEY_TEMPLATE]
	[ADD_MATERIAL:TALLOW:TALLOW_TEMPLATE]
	[ADD_MATERIAL:SOAP:SOAP_TEMPLATE]
}

{!SHARED_BODY_DETAIL_PLAN;TOUGHSTANDARD_MATERIALS;
	[ADD_MATERIAL:SKIN:TOUGHSKIN_TEMPLATE]
	[ADD_MATERIAL:LEATHER:TOUGHLEATHER_TEMPLATE]
	[ADD_MATERIAL:FAT:FAT_TEMPLATE]
	[ADD_MATERIAL:MUSCLE:TOUGHMUSCLE_TEMPLATE]
	[ADD_MATERIAL:BONE:TOUGHBONE_TEMPLATE]
	[ADD_MATERIAL:CARTILAGE:TOUGHCARTILAGE_TEMPLATE]
